========== Textual Sudoku Experiments Start ==========


========== Textual Sudoku on SATNet 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset satnet --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
[satnet] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
133   100.00         100.00         1000/1000      44775/44775    
134   100.00         100.00         1000/1000      44775/44775    
135   99.90          99.99          999/1000       44772/44775    
136   100.00         100.00         1000/1000      44775/44775    
137   99.90          99.99          999/1000       44771/44775    
138   100.00         100.00         1000/1000      44775/44775    
139   100.00         100.00         1000/1000      44775/44775    
140   100.00         100.00         1000/1000      44775/44775    
141   100.00         100.00         1000/1000      44775/44775    
142   100.00         100.00         1000/1000      44775/44775    
143   100.00         100.00         1000/1000      44775/44775    
144   100.00         100.00         1000/1000      44775/44775    
145   100.00         100.00         1000/1000      44775/44775    
146   100.00         100.00         1000/1000      44775/44775    
147   100.00         100.00         1000/1000      44775/44775    
148   100.00         100.00         1000/1000      44775/44775    
149   99.80          99.99          998/1000       44770/44775    
150   99.90          99.99          999/1000       44772/44775    
151   100.00         100.00         1000/1000      44775/44775    
152   100.00         100.00         1000/1000      44775/44775    
153   99.90          99.99          999/1000       44769/44775    
154   99.90          99.99          999/1000       44771/44775    
155   100.00         100.00         1000/1000      44775/44775    
156   100.00         100.00         1000/1000      44775/44775    
157   100.00         100.00         1000/1000      44775/44775    
158   99.90          100.00         999/1000       44774/44775    
159   100.00         100.00         1000/1000      44775/44775    
160   100.00         100.00         1000/1000      44775/44775    
161   99.90          100.00         999/1000       44773/44775    
162   100.00         100.00         1000/1000      44775/44775    
163   100.00         100.00         1000/1000      44775/44775    
164   100.00         100.00         1000/1000      44775/44775    
165   100.00         100.00         1000/1000      44775/44775    
166   100.00         100.00         1000/1000      44775/44775    
167   100.00         100.00         1000/1000      44775/44775    
168   100.00         100.00         1000/1000      44775/44775    
169   99.90          99.99          999/1000       44771/44775    
170   99.90          99.99          999/1000       44772/44775    
171   100.00         100.00         1000/1000      44775/44775    
172   100.00         100.00         1000/1000      44775/44775    
173   100.00         100.00         1000/1000      44775/44775    
174   100.00         100.00         1000/1000      44775/44775    
175   99.90          99.99          999/1000       44772/44775    
176   99.80          99.97          998/1000       44763/44775    
177   100.00         100.00         1000/1000      44775/44775    
178   100.00         100.00         1000/1000      44775/44775    
179   100.00         100.00         1000/1000      44775/44775    
180   99.90          99.99          999/1000       44769/44775    
181   100.00         100.00         1000/1000      44775/44775    
182   100.00         100.00         1000/1000      44775/44775    
183   99.90          100.00         999/1000       44774/44775    
184   100.00         100.00         1000/1000      44775/44775    
185   100.00         100.00         1000/1000      44775/44775    
186   100.00         100.00         1000/1000      44775/44775    
187   100.00         100.00         1000/1000      44775/44775    
188   100.00         100.00         1000/1000      44775/44775    
189   100.00         100.00         1000/1000      44775/44775    
190   100.00         100.00         1000/1000      44775/44775    
191   100.00         100.00         1000/1000      44775/44775    
192   100.00         100.00         1000/1000      44775/44775    
193   100.00         100.00         1000/1000      44775/44775    
194   100.00         100.00         1000/1000      44775/44775    
195   100.00         100.00         1000/1000      44775/44775    
196   99.90          99.99          999/1000       44772/44775    
197   100.00         100.00         1000/1000      44775/44775    
198   100.00         100.00         1000/1000      44775/44775    
199   99.80          99.98          998/1000       44765/44775    
200   100.00         100.00         1000/1000      44775/44775    


========== Textual Sudoku on Palm 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset palm --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
Reading ../data/sudoku-hard/train.csv...
Reading ../data/sudoku-hard/test.csv...
[palm] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           15.36          0/1000         8521/55463     
2     0.00           18.32          0/1000         10159/55463    
3     0.00           19.80          0/1000         10984/55463    
4     0.00           21.18          0/1000         11745/55463    
5     0.00           22.24          0/1000         12334/55463    
6     0.00           24.89          0/1000         13803/55463    
7     0.00           25.93          0/1000         14379/55463    
8     0.00           27.50          0/1000         15251/55463    
9     0.00           28.13          0/1000         15599/55463    
10    0.00           29.21          0/1000         16202/55463    
11    0.00           29.54          0/1000         16382/55463    
12    0.00           29.64          0/1000         16441/55463    
13    0.00           30.04          0/1000         16662/55463    
14    0.00           30.69          0/1000         17023/55463    
15    0.00           30.94          0/1000         17160/55463    
16    0.00           31.14          0/1000         17270/55463    
17    0.00           31.76          0/1000         17613/55463    
18    0.00           32.10          0/1000         17803/55463    
19    0.00           32.24          0/1000         17879/55463    
20    0.00           32.48          0/1000         18015/55463    
21    0.00           32.59          0/1000         18076/55463    
22    0.00           32.68          0/1000         18127/55463    
23    0.00           33.70          0/1000         18690/55463    
24    0.00           34.00          0/1000         18858/55463    
25    0.00           34.00          0/1000         18859/55463    
26    0.00           34.53          0/1000         19153/55463    
27    0.00           34.70          0/1000         19247/55463    
28    0.00           35.58          0/1000         19731/55463    
29    0.00           36.28          0/1000         20122/55463    
30    0.00           37.16          0/1000         20611/55463    
31    0.00           37.67          0/1000         20892/55463    
32    0.00           37.99          0/1000         21070/55463    
33    0.00           38.52          0/1000         21366/55463    
34    0.00           39.04          0/1000         21652/55463    
35    0.00           39.92          0/1000         22142/55463    
36    0.00           39.56          0/1000         21941/55463    
37    0.00           40.05          0/1000         22213/55463    
38    0.00           40.26          0/1000         22327/55463    
39    0.00           40.36          0/1000         22384/55463    
40    0.00           40.68          0/1000         22560/55463    
41    0.00           40.63          0/1000         22532/55463    
42    0.00           40.95          0/1000         22712/55463    
43    0.00           41.08          0/1000         22784/55463    
44    0.00           40.71          0/1000         22579/55463    
45    0.00           41.14          0/1000         22815/55463    
46    0.00           41.21          0/1000         22855/55463    
47    0.00           41.37          0/1000         22943/55463    
48    0.00           42.12          0/1000         23362/55463    
49    0.00           42.33          0/1000         23480/55463    
50    0.00           43.19          0/1000         23957/55463    
51    0.00           43.36          0/1000         24050/55463    
52    0.00           43.87          0/1000         24332/55463    
53    0.00           44.40          0/1000         24626/55463    
54    0.00           44.60          0/1000         24739/55463    
55    0.00           45.40          0/1000         25181/55463    
56    0.00           45.72          0/1000         25355/55463    
57    0.00           46.21          0/1000         25630/55463    
58    0.00           46.49          0/1000         25783/55463    
59    0.00           46.83          0/1000         25972/55463    
60    0.00           47.27          0/1000         26216/55463    
61    0.00           47.47          0/1000         26329/55463    
62    0.00           47.84          0/1000         26532/55463    
63    0.00           48.00          0/1000         26624/55463    
64    0.00           48.55          0/1000         26928/55463    
65    0.00           49.12          0/1000         27245/55463    
66    0.00           49.44          0/1000         27423/55463    
67    0.00           49.55          0/1000         27483/55463    
68    0.00           49.98          0/1000         27722/55463    
69    0.00           49.91          0/1000         27680/55463    
70    0.00           49.79          0/1000         27616/55463    
71    0.00           50.88          0/1000         28220/55463    
72    0.00           50.97          0/1000         28272/55463    
73    0.00           51.70          0/1000         28675/55463    
74    0.00           51.61          0/1000         28626/55463    
75    0.00           52.08          0/1000         28884/55463    
76    0.00           52.38          0/1000         29053/55463    
77    0.00           52.65          0/1000         29203/55463    
78    0.00           53.45          0/1000         29645/55463    
79    0.00           53.43          0/1000         29633/55463    
80    0.00           54.09          0/1000         30000/55463    
81    0.00           54.44          0/1000         30192/55463    
82    0.00           54.66          0/1000         30318/55463    
83    0.00           54.98          0/1000         30494/55463    
84    0.00           54.91          0/1000         30455/55463    
85    0.00           55.11          0/1000         30565/55463    
86    0.00           55.74          0/1000         30916/55463    
87    0.00           56.00          0/1000         31061/55463    
88    0.00           56.31          0/1000         31231/55463    
89    0.00           56.83          0/1000         31519/55463    
90    0.00           56.47          0/1000         31319/55463    
91    0.00           56.34          0/1000         31248/55463    
92    0.00           56.82          0/1000         31516/55463    
93    0.00           57.54          0/1000         31916/55463    
94    0.00           57.50          0/1000         31889/55463    
95    0.00           58.11          0/1000         32231/55463    
96    0.00           58.01          0/1000         32176/55463    
97    0.00           58.62          0/1000         32514/55463    
98    0.00           58.83          0/1000         32630/55463    
99    0.00           59.29          0/1000         32884/55463    
