========== Textual Sudoku Experiments Start ==========


========== Textual Sudoku on SATNet 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset satnet --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
[satnet] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
154   79.10          93.86          791/1000       52056/55463    
155   77.20          93.77          772/1000       52010/55463    
156   76.50          93.70          765/1000       51971/55463    
157   76.90          93.87          769/1000       52063/55463    
158   77.10          93.98          771/1000       52123/55463    
159   76.30          94.07          763/1000       52173/55463    
160   76.60          93.75          766/1000       51995/55463    
161   76.90          93.85          769/1000       52051/55463    
162   75.50          93.73          755/1000       51983/55463    
163   79.10          94.68          791/1000       52515/55463    
164   79.10          93.58          791/1000       51904/55463    
165   77.90          93.55          779/1000       51888/55463    
166   76.90          93.58          769/1000       51905/55463    
167   77.20          93.47          772/1000       51843/55463    
168   73.50          92.59          735/1000       51351/55463    
169   76.90          93.73          769/1000       51987/55463    
170   70.40          92.83          704/1000       51489/55463    
171   76.00          93.49          760/1000       51851/55463    
172   77.70          93.90          777/1000       52079/55463    
173   75.90          93.56          759/1000       51890/55463    
174   75.70          93.39          757/1000       51797/55463    
175   77.20          93.06          772/1000       51615/55463    
176   75.40          93.55          754/1000       51884/55463    
177   77.50          93.72          775/1000       51978/55463    
178   77.30          93.98          773/1000       52123/55463    
179   76.90          93.84          769/1000       52046/55463    
180   77.00          93.75          770/1000       51996/55463    
181   75.00          93.34          750/1000       51768/55463    
182   76.70          93.47          767/1000       51844/55463    
183   76.70          93.72          767/1000       51980/55463    
184   78.10          93.94          781/1000       52102/55463    
185   77.40          93.81          774/1000       52030/55463    
186   78.40          94.46          784/1000       52391/55463    
187   77.70          93.35          777/1000       51772/55463    
188   76.40          93.20          764/1000       51693/55463    
189   76.00          93.36          760/1000       51778/55463    
190   78.00          93.49          780/1000       51853/55463    
191   78.40          94.02          784/1000       52149/55463    
192   78.60          93.88          786/1000       52071/55463    
193   71.10          93.12          711/1000       51648/55463    
194   70.40          93.05          704/1000       51610/55463    
195   74.70          93.66          747/1000       51945/55463    
196   79.30          94.00          793/1000       52136/55463    
197   76.90          94.03          769/1000       52151/55463    
198   76.90          93.35          769/1000       51777/55463    
199   79.40          94.68          794/1000       52510/55463    
200   77.10          94.32          771/1000       52313/55463    


========== Textual Sudoku on Palm 9k/1k dataset with L_sudoku ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset palm --gpu 0 --seed 0 --loss c1 --hyper 1 0
Hyperparameters:  [1.0, 0.0]
Reading ../data/sudoku-hard/train.csv...
Reading ../data/sudoku-hard/test.csv...
[palm] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           15.37          0/1000         8523/55463     
2     0.00           18.33          0/1000         10164/55463    
3     0.00           19.77          0/1000         10964/55463    
4     0.00           20.90          0/1000         11591/55463    
5     0.00           22.08          0/1000         12249/55463    
6     0.00           24.90          0/1000         13810/55463    
7     0.00           26.03          0/1000         14438/55463    
8     0.00           26.90          0/1000         14919/55463    
9     0.00           27.98          0/1000         15518/55463    
10    0.00           29.06          0/1000         16117/55463    
11    0.00           28.95          0/1000         16054/55463    
12    0.00           29.01          0/1000         16091/55463    
13    0.00           29.35          0/1000         16277/55463    
14    0.00           29.52          0/1000         16375/55463    
15    0.00           30.06          0/1000         16670/55463    
16    0.00           30.31          0/1000         16809/55463    
17    0.00           30.43          0/1000         16879/55463    
18    0.00           30.73          0/1000         17043/55463    
19    0.00           30.62          0/1000         16981/55463    
20    0.00           31.02          0/1000         17203/55463    
21    0.00           31.30          0/1000         17360/55463    
22    0.00           32.14          0/1000         17826/55463    
23    0.00           32.24          0/1000         17883/55463    
24    0.00           32.39          0/1000         17962/55463    
25    0.00           32.70          0/1000         18138/55463    
26    0.00           32.81          0/1000         18195/55463    
27    0.00           33.42          0/1000         18533/55463    
28    0.00           34.24          0/1000         18989/55463    
29    0.00           34.34          0/1000         19045/55463    
30    0.00           34.88          0/1000         19345/55463    
31    0.00           36.07          0/1000         20006/55463    
32    0.00           36.42          0/1000         20198/55463    
33    0.00           37.57          0/1000         20835/55463    
34    0.00           37.72          0/1000         20923/55463    
35    0.00           38.89          0/1000         21572/55463    
36    0.00           39.16          0/1000         21721/55463    
37    0.00           39.89          0/1000         22125/55463    
38    0.00           40.19          0/1000         22288/55463    
39    0.00           40.93          0/1000         22701/55463    
40    0.00           40.98          0/1000         22731/55463    
41    0.00           41.91          0/1000         23246/55463    
42    0.00           43.82          0/1000         24303/55463    
43    0.00           46.21          0/1000         25632/55463    
44    0.00           46.83          0/1000         25973/55463    
45    0.00           47.05          0/1000         26094/55463    
46    0.00           47.85          0/1000         26541/55463    
47    0.00           49.00          0/1000         27177/55463    
48    0.00           52.86          0/1000         29317/55463    
49    0.00           53.73          0/1000         29800/55463    
50    0.00           55.44          0/1000         30750/55463    
51    0.00           55.45          0/1000         30755/55463    
52    0.00           57.85          0/1000         32086/55463    
53    0.00           60.44          0/1000         33521/55463    
54    0.00           62.94          0/1000         34910/55463    
55    0.20           63.65          2/1000         35301/55463    
56    0.00           64.07          0/1000         35536/55463    
57    14.10          73.93          141/1000       41004/55463    
58    48.30          84.33          483/1000       46773/55463    
59    50.60          84.39          506/1000       46804/55463    
60    55.10          86.19          551/1000       47801/55463    
61    61.50          88.10          615/1000       48861/55463    
62    59.10          88.18          591/1000       48910/55463    
63    61.80          88.60          618/1000       49139/55463    
64    63.60          89.38          636/1000       49574/55463    
65    64.10          89.56          641/1000       49675/55463    
66    65.50          90.16          655/1000       50007/55463    
67    65.20          90.30          652/1000       50085/55463    
68    68.50          90.86          685/1000       50395/55463    
69    68.80          90.92          688/1000       50427/55463    
70    64.80          89.46          648/1000       49616/55463    
71    68.00          91.64          680/1000       50827/55463    
72    68.60          91.26          686/1000       50613/55463    
73    69.00          90.48          690/1000       50185/55463    
74    67.60          90.11          676/1000       49980/55463    
75    70.00          91.03          700/1000       50486/55463    
76    70.10          90.68          701/1000       50294/55463    
77    73.10          92.04          731/1000       51047/55463    
78    72.80          92.03          728/1000       51042/55463    
79    72.70          91.89          727/1000       50966/55463    
80    72.30          91.66          723/1000       50836/55463    
81    74.10          92.58          741/1000       51348/55463    
82    74.60          92.81          746/1000       51476/55463    
83    73.80          92.82          738/1000       51483/55463    
84    74.00          92.93          740/1000       51544/55463    
85    74.50          92.13          745/1000       51096/55463    
86    76.10          92.93          761/1000       51542/55463    
87    76.10          93.27          761/1000       51729/55463    
88    73.40          92.52          734/1000       51315/55463    
89    73.80          92.05          738/1000       51051/55463    
90    75.40          93.60          754/1000       51913/55463    
91    77.60          93.13          776/1000       51654/55463    
92    76.90          93.49          769/1000       51853/55463    
93    76.50          93.60          765/1000       51912/55463    
94    75.10          92.70          751/1000       51413/55463    
95    77.20          93.47          772/1000       51840/55463    
96    77.10          93.87          771/1000       52065/55463    
97    75.10          92.54          751/1000       51327/55463    
98    73.30          92.42          733/1000       51261/55463    
99    79.40          94.31          794/1000       52309/55463    
100   77.80          93.15          778/1000       51662/55463    
101   76.40          93.32          764/1000       51760/55463    
102   79.00          93.77          790/1000       52009/55463    
103   78.40          93.50          784/1000       51857/55463    
104   77.30          93.32          773/1000       51757/55463    
105   80.80          94.37          808/1000       52343/55463    
106   79.20          93.98          792/1000       52125/55463    
107   79.50          93.90          795/1000       52079/55463    
108   78.90          93.63          789/1000       51930/55463    
109   75.30          93.60          753/1000       51914/55463    
110   77.60          93.17          776/1000       51675/55463    
111   77.10          93.78          771/1000       52011/55463    
112   76.10          92.74          761/1000       51434/55463    
113   78.60          94.05          786/1000       52161/55463    
114   77.80          94.02          778/1000       52144/55463    
115   79.30          93.82          793/1000       52037/55463    
116   75.50          93.88          755/1000       52069/55463    
117   79.00          93.46          790/1000       51833/55463    
118   79.30          94.58          793/1000       52455/55463    
119   78.60          93.74          786/1000       51990/55463    
120   74.70          92.48          747/1000       51290/55463    
121   80.30          94.16          803/1000       52226/55463    
122   79.00          94.01          790/1000       52141/55463    
123   77.30          93.95          773/1000       52107/55463    
124   82.20          94.59          822/1000       52462/55463    
125   80.70          94.32          807/1000       52313/55463    
126   80.10          94.20          801/1000       52245/55463    
127   78.10          93.51          781/1000       51865/55463    
128   79.40          94.08          794/1000       52182/55463    
129   80.00          94.16          800/1000       52223/55463    
130   81.70          94.96          817/1000       52666/55463    
131   80.70          94.07          807/1000       52175/55463    
132   79.30          93.61          793/1000       51917/55463    
133   80.20          94.33          802/1000       52318/55463    
134   79.60          94.01          796/1000       52141/55463    
135   79.10          94.02          791/1000       52149/55463    
136   79.00          94.13          790/1000       52205/55463    
137   80.50          94.73          805/1000       52540/55463    
138   80.80          94.33          808/1000       52319/55463    
139   80.00          93.82          800/1000       52033/55463    
140   82.00          94.70          820/1000       52522/55463    
141   81.60          95.14          816/1000       52768/55463    
142   79.50          94.05          795/1000       52165/55463    
143   82.60          95.02          826/1000       52702/55463    
144   80.50          94.05          805/1000       52162/55463    
145   81.00          94.31          810/1000       52307/55463    
146   82.20          94.65          822/1000       52497/55463    
147   80.90          94.44          809/1000       52381/55463    
148   78.40          93.71          784/1000       51977/55463    
149   82.30          94.96          823/1000       52670/55463    
150   81.70          94.78          817/1000       52566/55463    
151   83.40          95.34          834/1000       52878/55463    
152   80.40          94.41          804/1000       52365/55463    
153   82.30          94.55          823/1000       52439/55463    
154   82.50          94.99          825/1000       52685/55463    
155   79.00          94.52          790/1000       52423/55463    
156   81.20          94.64          812/1000       52492/55463    
157   83.90          94.89          839/1000       52629/55463    
158   82.10          94.08          821/1000       52179/55463    
159   82.50          94.44          825/1000       52381/55463    
160   77.60          94.20          776/1000       52245/55463    
161   82.70          95.14          827/1000       52770/55463    
162   81.80          94.68          818/1000       52514/55463    
163   82.60          94.62          826/1000       52480/55463    
164   80.70          94.01          807/1000       52140/55463    
165   81.40          94.69          814/1000       52517/55463    
166   82.70          94.71          827/1000       52530/55463    
167   83.40          94.87          834/1000       52615/55463    
168   79.60          94.42          796/1000       52366/55463    
169   82.70          95.47          827/1000       52953/55463    
170   80.70          94.02          807/1000       52145/55463    
171   78.90          93.27          789/1000       51728/55463    
172   82.80          95.06          828/1000       52725/55463    
173   80.70          94.84          807/1000       52601/55463    
174   82.00          94.48          820/1000       52400/55463    
175   82.10          94.90          821/1000       52633/55463    
176   81.80          94.92          818/1000       52644/55463    
177   80.80          94.04          808/1000       52157/55463    
178   82.50          94.84          825/1000       52600/55463    
179   82.80          94.85          828/1000       52609/55463    
180   82.90          94.77          829/1000       52563/55463    
181   82.00          94.88          820/1000       52626/55463    
182   81.40          94.06          814/1000       52166/55463    
183   82.90          94.80          829/1000       52579/55463    
184   82.00          95.07          820/1000       52727/55463    
185   80.60          94.56          806/1000       52448/55463    
186   85.00          94.97          850/1000       52675/55463    
187   82.10          94.77          821/1000       52560/55463    
188   82.20          94.89          822/1000       52627/55463    
189   82.70          94.74          827/1000       52547/55463    
190   83.70          95.21          837/1000       52809/55463    
191   85.30          95.23          853/1000       52816/55463    
192   83.10          94.84          831/1000       52603/55463    
193   82.10          95.00          821/1000       52692/55463    
194   80.70          94.04          807/1000       52155/55463    
195   80.10          93.32          801/1000       51756/55463    
196   79.00          93.49          790/1000       51853/55463    
197   81.00          94.46          810/1000       52392/55463    
198   84.70          95.27          847/1000       52838/55463    
199   81.90          95.03          819/1000       52706/55463    
200   81.90          94.07          819/1000       52173/55463    


========== Textual Sudoku on Palm 9k/1k dataset with L_attention+L_sudoku ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset palm --gpu 0 --seed 0 --loss att_c1 c1 --hyper 0.5 0.5
Hyperparameters:  [0.5, 0.5]
Reading ../data/sudoku-hard/train.csv...
Reading ../data/sudoku-hard/test.csv...
[palm] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           10.89          0/1000         6042/55463     
2     0.00           11.18          0/1000         6199/55463     
3     0.00           11.01          0/1000         6108/55463     
4     0.00           13.39          0/1000         7424/55463     
5     0.00           14.43          0/1000         8006/55463     
6     0.00           14.67          0/1000         8139/55463     
7     0.00           14.85          0/1000         8235/55463     
8     0.00           14.94          0/1000         8286/55463     
9     0.00           17.86          0/1000         9905/55463     
10    0.00           18.70          0/1000         10371/55463    
11    0.00           21.78          0/1000         12080/55463    
12    0.00           22.92          0/1000         12713/55463    
13    0.00           25.05          0/1000         13896/55463    
14    0.00           27.03          0/1000         14992/55463    
15    0.00           27.92          0/1000         15486/55463    
16    0.00           28.72          0/1000         15931/55463    
17    0.00           30.39          0/1000         16856/55463    
18    0.00           32.21          0/1000         17863/55463    
19    0.00           32.70          0/1000         18138/55463    
20    0.00           32.92          0/1000         18256/55463    
21    0.00           33.16          0/1000         18389/55463    
22    0.00           33.78          0/1000         18733/55463    
23    0.00           35.17          0/1000         19507/55463    
24    0.00           35.50          0/1000         19692/55463    
25    0.00           36.19          0/1000         20070/55463    
26    0.00           36.55          0/1000         20274/55463    
27    0.00           36.58          0/1000         20291/55463    
28    0.00           36.74          0/1000         20378/55463    
29    0.00           37.47          0/1000         20782/55463    
30    0.00           37.50          0/1000         20796/55463    
31    0.00           37.83          0/1000         20983/55463    
32    0.00           38.03          0/1000         21091/55463    
33    0.00           38.21          0/1000         21194/55463    
34    0.00           38.50          0/1000         21356/55463    
35    0.00           39.53          0/1000         21922/55463    
36    0.00           41.01          0/1000         22747/55463    
37    0.00           42.06          0/1000         23328/55463    
38    0.00           42.72          0/1000         23694/55463    
39    0.00           44.10          0/1000         24457/55463    
40    0.00           44.93          0/1000         24920/55463    
41    0.00           45.05          0/1000         24987/55463    
42    0.00           45.65          0/1000         25321/55463    
43    0.00           46.76          0/1000         25936/55463    
44    0.00           48.30          0/1000         26789/55463    
45    0.00           48.76          0/1000         27044/55463    
46    0.00           49.16          0/1000         27268/55463    
47    0.00           49.58          0/1000         27501/55463    
48    0.00           50.16          0/1000         27822/55463    
49    0.00           50.72          0/1000         28130/55463    
50    0.00           51.50          0/1000         28562/55463    
51    0.00           52.69          0/1000         29225/55463    
52    0.00           54.01          0/1000         29953/55463    
53    0.00           55.20          0/1000         30616/55463    
54    0.00           56.53          0/1000         31354/55463    
55    0.00           57.60          0/1000         31948/55463    
56    0.00           58.99          0/1000         32715/55463    
57    0.00           60.15          0/1000         33359/55463    
58    0.00           60.40          0/1000         33498/55463    
59    0.10           61.53          1/1000         34128/55463    
60    0.10           61.87          1/1000         34313/55463    
61    0.20           63.62          2/1000         35285/55463    
62    0.30           66.19          3/1000         36710/55463    
63    2.00           69.39          20/1000        38488/55463    
64    8.20           74.01          82/1000        41048/55463    
65    7.00           74.88          70/1000        41531/55463    
66    8.80           76.34          88/1000        42339/55463    
67    11.20          76.88          112/1000       42639/55463    
68    11.20          78.64          112/1000       43616/55463    
69    46.40          84.73          464/1000       46994/55463    
70    53.50          87.22          535/1000       48373/55463    
71    56.10          87.04          561/1000       48276/55463    
72    56.60          87.65          566/1000       48611/55463    
73    60.00          88.88          600/1000       49298/55463    
74    62.50          89.38          625/1000       49573/55463    
75    61.50          89.27          615/1000       49510/55463    
76    55.60          88.14          556/1000       48885/55463    
77    65.70          90.62          657/1000       50258/55463    
78    62.90          90.38          629/1000       50129/55463    
79    66.70          90.82          667/1000       50372/55463    
80    65.10          90.57          651/1000       50235/55463    
81    65.20          91.12          652/1000       50540/55463    
82    67.10          90.91          671/1000       50421/55463    
83    68.70          92.03          687/1000       51043/55463    
84    69.50          91.26          695/1000       50618/55463    
85    65.20          91.11          652/1000       50530/55463    
86    69.50          92.08          695/1000       51069/55463    
87    69.00          92.10          690/1000       51083/55463    
88    70.40          91.97          704/1000       51010/55463    
89    72.10          92.76          721/1000       51449/55463    
90    69.70          92.37          697/1000       51229/55463    
91    68.10          92.30          681/1000       51192/55463    
92    70.80          92.95          708/1000       51551/55463    
93    71.20          92.71          712/1000       51418/55463    
94    71.50          92.89          715/1000       51521/55463    
95    73.80          92.77          738/1000       51455/55463    
96    73.10          93.03          731/1000       51596/55463    
97    73.50          92.99          735/1000       51576/55463    
98    72.50          93.43          725/1000       51821/55463    
99    73.40          93.09          734/1000       51631/55463    
100   75.10          92.41          751/1000       51251/55463    
101   75.50          92.73          755/1000       51432/55463    
102   73.80          93.11          738/1000       51639/55463    
103   73.70          93.06          737/1000       51613/55463    
104   73.30          93.05          733/1000       51607/55463    
105   75.10          93.47          751/1000       51839/55463    
106   72.20          93.17          722/1000       51674/55463    
107   76.10          93.13          761/1000       51653/55463    
108   77.20          94.34          772/1000       52323/55463    
109   75.10          93.39          751/1000       51796/55463    
110   75.00          93.77          750/1000       52009/55463    
111   75.60          93.51          756/1000       51862/55463    
112   73.10          93.65          731/1000       51941/55463    
113   73.30          91.77          733/1000       50897/55463    
114   78.30          94.16          783/1000       52222/55463    
115   75.10          92.79          751/1000       51465/55463    
116   75.40          93.92          754/1000       52093/55463    
117   77.10          94.07          771/1000       52176/55463    
118   75.30          93.75          753/1000       51994/55463    
119   77.80          93.26          778/1000       51727/55463    
120   74.80          93.81          748/1000       52030/55463    
121   77.10          93.94          771/1000       52101/55463    
122   76.70          94.17          767/1000       52229/55463    
123   78.20          94.15          782/1000       52220/55463    
124   76.40          94.33          764/1000       52316/55463    
125   78.60          94.33          786/1000       52317/55463    
126   79.00          94.67          790/1000       52508/55463    
127   77.20          94.07          772/1000       52176/55463    
128   77.50          93.79          775/1000       52019/55463    
129   78.00          93.60          780/1000       51915/55463    
130   76.10          93.05          761/1000       51606/55463    
131   79.30          93.98          793/1000       52124/55463    
132   78.40          94.20          784/1000       52247/55463    
133   76.80          93.62          768/1000       51926/55463    
134   77.00          93.31          770/1000       51754/55463    
135   79.10          94.48          791/1000       52404/55463    
136   78.00          93.31          780/1000       51751/55463    
137   77.50          93.96          775/1000       52112/55463    
138   80.60          94.79          806/1000       52576/55463    
139   81.10          94.87          811/1000       52620/55463    
140   78.30          93.97          783/1000       52117/55463    
141   78.80          94.36          788/1000       52336/55463    
142   78.00          94.46          780/1000       52388/55463    
143   79.70          94.53          797/1000       52427/55463    
144   77.70          93.88          777/1000       52071/55463    
145   80.40          94.46          804/1000       52392/55463    
146   81.60          94.76          816/1000       52554/55463    
147   81.90          95.16          819/1000       52780/55463    
148   77.40          93.36          774/1000       51778/55463    
149   80.60          94.76          806/1000       52557/55463    
150   81.00          94.93          810/1000       52649/55463    
151   79.70          94.57          797/1000       52449/55463    
152   80.20          94.18          802/1000       52233/55463    
153   78.60          93.83          786/1000       52041/55463    
154   79.90          94.11          799/1000       52198/55463    
155   77.60          93.80          776/1000       52027/55463    
156   78.60          93.84          786/1000       52048/55463    
157   81.60          95.10          816/1000       52746/55463    
158   79.70          94.52          797/1000       52421/55463    
159   78.30          93.53          783/1000       51876/55463    
160   80.30          94.01          803/1000       52141/55463    
161   78.50          94.14          785/1000       52213/55463    
162   82.00          95.06          820/1000       52722/55463    
163   79.50          94.06          795/1000       52170/55463    
164   81.80          94.63          818/1000       52482/55463    
165   81.80          94.76          818/1000       52554/55463    
166   77.10          93.80          771/1000       52022/55463    
167   80.50          94.45          805/1000       52384/55463    
168   78.50          94.49          785/1000       52409/55463    
169   78.70          94.32          787/1000       52313/55463    
170   77.60          94.10          776/1000       52192/55463    
171   78.50          93.95          785/1000       52108/55463    
172   80.40          94.22          804/1000       52256/55463    
173   80.80          94.66          808/1000       52504/55463    
174   81.80          95.21          818/1000       52805/55463    
175   80.50          94.51          805/1000       52416/55463    
176   80.10          94.85          801/1000       52606/55463    
177   81.00          94.36          810/1000       52335/55463    
178   76.00          92.78          760/1000       51461/55463    
179   77.80          94.61          778/1000       52472/55463    
180   80.10          94.31          801/1000       52305/55463    
181   81.10          94.38          811/1000       52346/55463    
182   80.80          94.43          808/1000       52371/55463    
183   83.20          95.44          832/1000       52935/55463    
184   81.10          93.96          811/1000       52115/55463    
185   79.20          94.74          792/1000       52543/55463    
186   82.10          95.44          821/1000       52933/55463    
187   79.60          94.59          796/1000       52463/55463    
188   80.70          94.69          807/1000       52518/55463    
189   81.50          94.92          815/1000       52646/55463    
190   81.10          94.37          811/1000       52342/55463    
191   80.70          94.33          807/1000       52316/55463    
192   81.30          94.68          813/1000       52510/55463    
193   78.30          94.63          783/1000       52485/55463    
194   80.60          94.59          806/1000       52460/55463    
195   79.40          94.06          794/1000       52168/55463    
196   78.80          94.79          788/1000       52575/55463    
197   82.10          94.57          821/1000       52450/55463    
198   81.30          94.80          813/1000       52580/55463    
199   81.50          94.77          815/1000       52563/55463    
200   79.20          93.68          792/1000       51956/55463    


========== Textual Sudoku Experiments End ==========
