========== Nonogram Experiments Start ==========


========== Nonogram on 7x7 board with 9k/1k dataset ==========


python main.py --game_size 7 --wandb --gpu 3 --seed 0
Reading ../data/nonogram/nonograms_7.csv...
[nonogram-7] use 9000 for training and 1000 for testing
Using GPU 3
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
137   97.60          99.84          976/1000       48920/49000    
138   97.10          99.79          971/1000       48898/49000    
139   96.40          99.71          964/1000       48859/49000    
140   96.60          99.69          966/1000       48850/49000    
141   96.70          99.74          967/1000       48874/49000    
142   97.00          99.67          970/1000       48838/49000    
143   96.00          99.68          960/1000       48844/49000    
144   96.20          99.71          962/1000       48857/49000    
145   96.40          99.74          964/1000       48871/49000    
146   97.10          99.86          971/1000       48930/49000    
147   97.40          99.79          974/1000       48897/49000    
148   97.60          99.80          976/1000       48903/49000    
149   95.90          99.69          959/1000       48848/49000    
150   97.80          99.83          978/1000       48915/49000    
151   97.10          99.83          971/1000       48919/49000    
152   97.80          99.81          978/1000       48906/49000    
153   96.50          99.62          965/1000       48812/49000    
154   97.10          99.78          971/1000       48892/49000    
155   96.90          99.72          969/1000       48861/49000    
156   96.40          99.76          964/1000       48881/49000    
157   96.90          99.70          969/1000       48853/49000    
158   97.30          99.77          973/1000       48885/49000    
159   97.10          99.76          971/1000       48884/49000    
160   96.30          99.76          963/1000       48884/49000    
161   97.60          99.70          976/1000       48855/49000    
162   97.90          99.75          979/1000       48876/49000    
163   97.50          99.74          975/1000       48874/49000    
164   97.60          99.75          976/1000       48879/49000    
165   97.70          99.81          977/1000       48906/49000    
166   97.10          99.69          971/1000       48848/49000    
167   96.70          99.74          967/1000       48874/49000    
168   95.30          99.66          953/1000       48832/49000    
169   97.10          99.77          971/1000       48885/49000    
170   97.10          99.65          971/1000       48828/49000    
171   93.30          99.60          933/1000       48802/49000    
172   96.60          99.55          966/1000       48781/49000    
173   96.70          99.61          967/1000       48809/49000    
174   97.20          99.77          972/1000       48888/49000    
175   96.50          99.72          965/1000       48861/49000    
176   95.60          99.63          956/1000       48818/49000    
177   96.70          99.76          967/1000       48884/49000    
178   96.70          99.73          967/1000       48866/49000    
179   97.30          99.74          973/1000       48872/49000    
180   97.90          99.76          979/1000       48882/49000    
181   97.10          99.74          971/1000       48871/49000    
182   97.20          99.74          972/1000       48875/49000    
183   96.40          99.66          964/1000       48833/49000    
184   95.80          99.73          958/1000       48869/49000    
185   97.60          99.67          976/1000       48840/49000    
186   96.90          99.82          969/1000       48911/49000    
187   96.90          99.71          969/1000       48859/49000    
188   96.90          99.69          969/1000       48846/49000    
189   98.20          99.82          982/1000       48912/49000    
190   98.20          99.76          982/1000       48882/49000    
191   96.40          99.71          964/1000       48859/49000    
192   96.90          99.76          969/1000       48882/49000    
193   97.70          99.61          977/1000       48809/49000    
194   96.10          99.62          961/1000       48812/49000    
195   97.80          99.83          978/1000       48919/49000    
196   97.60          99.77          976/1000       48888/49000    
197   97.00          99.75          970/1000       48879/49000    
198   97.70          99.75          977/1000       48879/49000    
199   97.40          99.66          974/1000       48835/49000    
200   97.20          99.74          972/1000       48871/49000    

========== Nonogram on 15x15 board with 9k/1k dataset ==========

python main.py --game_size 15 --wandb --gpu 3 --seed 0
Reading ../data/nonogram/nonograms_15.csv...
[nonogram-15] use 9000 for training and 1000 for testing
Using GPU 3
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
1     0.00           70.68          0/1000         159030/225000  
2     0.00           77.18          0/1000         173666/225000  
3     0.00           79.35          0/1000         178537/225000  
4     0.00           80.03          0/1000         180071/225000  
5     0.00           80.75          0/1000         181693/225000  
6     0.00           81.52          0/1000         183425/225000  
7     0.00           82.34          0/1000         185274/225000  
8     0.00           83.38          0/1000         187597/225000  
9     0.00           84.30          0/1000         189668/225000  
10    0.00           84.91          0/1000         191045/225000  
11    0.00           86.36          0/1000         194307/225000  
12    0.00           87.60          0/1000         197106/225000  
13    0.00           88.78          0/1000         199746/225000  
14    0.00           89.87          0/1000         202212/225000  
15    0.00           90.87          0/1000         204467/225000  
16    0.00           91.51          0/1000         205894/225000  
17    0.00           91.92          0/1000         206820/225000  
18    0.10           92.42          1/1000         207944/225000  
19    0.00           92.48          0/1000         208085/225000  
20    0.40           93.84          4/1000         211145/225000  
21    0.20           93.91          2/1000         211305/225000  
22    1.00           94.59          10/1000        212825/225000  
23    0.50           94.66          5/1000         212979/225000  
24    1.50           95.19          15/1000        214178/225000  
25    1.90           95.59          19/1000        215080/225000  
26    3.20           95.91          32/1000        215804/225000  
27    1.40           95.76          14/1000        215458/225000  
28    2.60           96.09          26/1000        216209/225000  
29    3.30           96.23          33/1000        216509/225000  
30    0.80           95.69          8/1000         215300/225000  
31    3.70           96.25          37/1000        216572/225000  
32    4.90           96.60          49/1000        217344/225000  
33    5.30           96.55          53/1000        217232/225000  
34    8.70           96.75          87/1000        217695/225000  
35    9.00           97.15          90/1000        218598/225000  
36    10.90          97.25          109/1000       218811/225000  
37    10.40          97.20          104/1000       218692/225000  
38    11.60          97.34          116/1000       219011/225000  
39    11.40          97.33          114/1000       219003/225000  
40    15.80          97.64          158/1000       219691/225000  
41    15.50          97.63          155/1000       219665/225000  
42    22.40          97.83          224/1000       220125/225000  
43    17.80          97.67          178/1000       219764/225000  
44    23.90          98.10          239/1000       220720/225000  
45    23.70          97.89          237/1000       220247/225000  
46    24.30          97.96          243/1000       220399/225000  
47    19.60          97.89          196/1000       220252/225000  
48    26.40          98.09          264/1000       220710/225000  
49    26.40          98.00          264/1000       220492/225000  
50    23.90          97.95          239/1000       220392/225000  
51    26.10          98.12          261/1000       220769/225000  
52    33.00          98.31          330/1000       221189/225000  
53    20.90          97.98          209/1000       220459/225000  
54    35.90          98.37          359/1000       221334/225000  
55    29.90          98.28          299/1000       221129/225000  
56    39.50          98.45          395/1000       221505/225000  
57    37.00          98.43          370/1000       221469/225000  
58    33.80          98.45          338/1000       221511/225000  
59    38.70          98.38          387/1000       221365/225000  
60    36.20          98.32          362/1000       221231/225000  
61    25.90          98.36          259/1000       221321/225000  
62    34.40          98.37          344/1000       221327/225000  
63    33.10          98.34          331/1000       221265/225000  
64    37.40          98.39          374/1000       221382/225000  
65    37.80          98.48          378/1000       221589/225000  
66    37.20          98.57          372/1000       221790/225000  
67    46.50          98.64          465/1000       221935/225000  
68    44.40          98.63          444/1000       221912/225000  
69    34.10          98.39          341/1000       221380/225000  
70    48.90          98.59          489/1000       221826/225000  
71    46.20          98.76          462/1000       222217/225000  
72    43.30          98.61          433/1000       221871/225000  
73    45.10          98.60          451/1000       221857/225000  
74    43.40          98.70          434/1000       222078/225000  
75    48.40          98.75          484/1000       222195/225000  
76    48.40          98.69          484/1000       222052/225000  
77    44.80          98.65          448/1000       221966/225000  
78    50.80          98.79          508/1000       222285/225000  
79    47.70          98.60          477/1000       221843/225000  
80    49.10          98.75          491/1000       222190/225000  
81    47.00          98.68          470/1000       222034/225000  
82    51.70          98.76          517/1000       222201/225000  
83    48.00          98.64          480/1000       221936/225000  
84    43.10          98.61          431/1000       221883/225000  
85    52.80          98.80          528/1000       222303/225000  
86    49.60          98.77          496/1000       222222/225000  
87    53.60          98.87          536/1000       222466/225000  
88    52.10          98.67          521/1000       222015/225000  
89    48.90          98.73          489/1000       222152/225000  
90    49.40          98.76          494/1000       222215/225000  
91    50.60          98.83          506/1000       222357/225000  
92    54.30          98.89          543/1000       222511/225000  
93    49.80          98.69          498/1000       222059/225000  
94    54.50          98.87          545/1000       222455/225000  
95    52.40          98.79          524/1000       222272/225000  
96    56.30          98.91          563/1000       222541/225000  
97    59.30          99.04          593/1000       222846/225000  
98    55.90          98.76          559/1000       222217/225000  
99    57.70          98.82          577/1000       222336/225000  
100   55.10          98.86          551/1000       222436/225000  
101   52.00          98.64          520/1000       221945/225000  
102   53.10          98.77          531/1000       222227/225000  
103   59.60          99.01          596/1000       222768/225000  
104   61.30          98.91          613/1000       222556/225000  
105   53.70          98.72          537/1000       222129/225000  
106   53.60          98.77          536/1000       222227/225000  
107   54.40          98.93          544/1000       222591/225000  
108   54.80          98.71          548/1000       222090/225000  
109   60.60          98.96          606/1000       222659/225000  
110   61.10          98.99          611/1000       222732/225000  
111   59.70          98.96          597/1000       222670/225000  
112   53.40          98.82          534/1000       222340/225000  
113   57.00          98.93          570/1000       222596/225000  
114   58.40          98.93          584/1000       222600/225000  
115   59.10          98.87          591/1000       222465/225000  
116   60.90          98.91          609/1000       222555/225000  
117   58.70          98.84          587/1000       222393/225000  
118   58.10          98.83          581/1000       222369/225000  
119   58.30          98.84          583/1000       222386/225000  
120   62.80          98.97          628/1000       222688/225000  
121   58.50          98.93          585/1000       222602/225000  
122   56.10          98.71          561/1000       222089/225000  
123   62.50          98.99          625/1000       222738/225000  
124   59.30          98.90          593/1000       222518/225000  
125   57.70          98.87          577/1000       222454/225000  
126   59.90          98.92          599/1000       222571/225000  
127   55.70          98.86          557/1000       222442/225000  
128   60.20          98.90          602/1000       222515/225000  
129   63.70          98.90          637/1000       222529/225000  
130   61.80          98.96          618/1000       222649/225000  
131   59.40          98.98          594/1000       222703/225000  
132   63.00          99.04          630/1000       222835/225000  
133   59.40          98.94          594/1000       222616/225000  
134   56.70          98.98          567/1000       222701/225000  
135   62.00          98.96          620/1000       222656/225000  
136   65.40          98.95          654/1000       222633/225000  
137   61.40          98.90          614/1000       222535/225000  
138   60.40          98.92          604/1000       222580/225000  
139   58.20          98.82          582/1000       222353/225000  
140   63.20          99.02          632/1000       222785/225000  
141   65.40          98.97          654/1000       222692/225000  
142   60.20          98.83          602/1000       222359/225000  
143   58.60          98.84          586/1000       222388/225000  
144   59.30          98.89          593/1000       222502/225000  
145   59.80          98.86          598/1000       222427/225000  
146   58.10          98.84          581/1000       222400/225000  
147   58.60          98.90          586/1000       222516/225000  
148   61.50          98.85          615/1000       222411/225000  
149   52.20          98.73          522/1000       222133/225000  
150   60.10          98.81          601/1000       222333/225000  
151   63.30          98.85          633/1000       222418/225000  
152   59.00          98.85          590/1000       222418/225000  
153   63.50          99.00          635/1000       222744/225000  
154   60.10          98.87          601/1000       222447/225000  
155   62.50          98.95          625/1000       222630/225000  
156   61.80          98.93          618/1000       222599/225000  
157   59.50          98.89          595/1000       222511/225000  
158   61.30          98.91          613/1000       222544/225000  
159   60.10          98.86          601/1000       222441/225000  
160   62.90          98.82          629/1000       222345/225000  
161   63.00          98.91          630/1000       222558/225000  
162   63.60          98.86          636/1000       222424/225000  
163   63.40          98.94          634/1000       222619/225000  
164   62.70          98.88          627/1000       222484/225000  
165   62.90          98.88          629/1000       222476/225000  
166   62.20          98.88          622/1000       222474/225000  
167   61.40          98.81          614/1000       222331/225000  
168   61.90          98.99          619/1000       222727/225000  
169   64.80          99.02          648/1000       222788/225000  
170   52.10          98.80          521/1000       222310/225000  
171   62.20          98.85          622/1000       222414/225000  
172   62.30          98.92          623/1000       222578/225000  
173   63.20          98.89          632/1000       222498/225000  
174   60.50          98.87          605/1000       222461/225000  
175   60.90          98.93          609/1000       222589/225000  
176   64.70          98.92          647/1000       222566/225000  
177   58.50          98.72          585/1000       222124/225000  
178   61.90          98.78          619/1000       222255/225000  
179   56.30          98.65          563/1000       221963/225000  
180   62.30          98.90          623/1000       222519/225000  
181   59.60          98.80          596/1000       222300/225000  
182   60.30          98.78          603/1000       222249/225000  
183   60.50          98.78          605/1000       222261/225000  
184   59.80          98.77          598/1000       222239/225000  
185   64.30          99.08          643/1000       222937/225000  
186   62.40          98.99          624/1000       222717/225000  
187   63.50          98.99          635/1000       222733/225000  
188   62.60          98.94          626/1000       222625/225000  
189   60.80          98.79          608/1000       222279/225000  
190   60.40          98.78          604/1000       222244/225000  
191   62.70          98.74          627/1000       222162/225000  
192   61.60          98.91          616/1000       222558/225000  
193   61.60          98.85          616/1000       222418/225000  
194   63.00          99.00          630/1000       222745/225000  
195   63.50          98.86          635/1000       222434/225000  
196   63.30          98.94          633/1000       222625/225000  
197   59.00          98.72          590/1000       222113/225000  
198   64.00          98.81          640/1000       222315/225000  
199   60.80          98.73          608/1000       222134/225000  
200   61.90          98.75          619/1000       222186/225000  


========== Nonogram Experiments End ==========
